SETID,SAL_ADMIN_PLAN,GRADE,EFFDT,EFF_STATUS,DESCR,DESCRSHORT
IND,INDL,A5,01-01-1900 00:00:00,A,REG.MANAGER(I CAPS),11
IND,INDL,A50,01-01-1900 00:00:00,A,grade a,A
IND,INDL,A51,01-01-1900 00:00:00,A,ASSISTANT MANAGER,AM
IND,INDL,A52,01-01-1900 00:00:00,A,ASST  MANAGER,AM
IND,INDL,A53,01-01-1900 00:00:00,A,ASSISTANT MANAGER-1,AM1
IND,INDL,A54,01-01-1900 00:00:00,A,ASST. VICE-PRESIDENT,AVP
IND,INDL,A55,01-01-1900 00:00:00,A,B,B
IND,INDL,A56,01-01-1900 00:00:00,A,Grade B,B
IND,INDL,A57,01-01-1900 00:00:00,A,C1,C1
IND,INDL,A58,01-01-1900 00:00:00,A,C1 HIGHER,C1HR
IND,INDL,A59,01-01-1900 00:00:00,A,C2,C2
IND,INDL,A6,01-01-1900 00:00:00,A,SR. MGT.I,12
IND,INDL,A60,01-01-1900 00:00:00,A,D,D
IND,INDL,A61,01-01-1900 00:00:00,A,DRIVER,DRIV
IND,INDL,A62,01-01-1900 00:00:00,A,EXECUTIVE TRAINEE,ET
IND,INDL,A63,01-01-1900 00:00:00,A,EXEC VICE PRESIDENT,EVP
IND,INDL,A64,01-01-1900 00:00:00,A,H1,H1
IND,INDL,A65,01-01-1900 00:00:00,A,H2,H2
IND,INDL,A66,01-01-1900 00:00:00,A,H3,H3
IND,INDL,A67,01-01-1900 00:00:00,A,H4,H4
IND,INDL,A68,01-01-1900 00:00:00,A,H4 - HIGHER,H4H
IND,INDL,A69,01-01-1900 00:00:00,A,H5,H5
IND,INDL,A7,01-01-1900 00:00:00,A,SR.MANAGER (I CAPS),13
IND,INDL,A70,01-01-1900 00:00:00,A,H6,H6
IND,INDL,A71,01-01-1900 00:00:00,A,IBG OVERSEAS,IBGOV
IND,INDL,A72,01-01-1900 00:00:00,A,JUNIOR OFFICER,JO
IND,INDL,A73,01-01-1900 00:00:00,A,MANAGER,MGR
IND,INDL,A74,01-01-1900 00:00:00,A,ASSISTANT MANAGER,MI
IND,INDL,A75,01-01-1900 00:00:00,A,DY MANAGER,MII
IND,INDL,A76,01-01-1900 00:00:00,A,MANAGER,MIII
IND,INDL,A77,01-01-1900 00:00:00,A,VICE PRESIDENT,SMI
IND,INDL,A78,01-01-1900 00:00:00,A,SR VICE PRESIDENT,SMII
IND,INDL,A79,01-01-1900 00:00:00,A,SALES OFFICER,SO
IND,INDL,A8,01-01-1900 00:00:00,A,AST. VP (I CAPS),14
IND,INDL,A80,01-01-1900 00:00:00,A,ADV (resigned),ADV
IND,INDL,A81,01-01-1900 00:00:00,A,AM(resigned),AM
IND,INDL,A82,01-01-1900 00:00:00,A,DMD(resigned),DMD
IND,INDL,A83,01-01-1900 00:00:00,A,ET(resigned),ET
IND,INDL,A84,01-01-1900 00:00:00,A,HK1B(resigned),HK1B
IND,INDL,A85,01-01-1900 00:00:00,A,HK2B(resigned),HK2B
IND,INDL,A86,01-01-1900 00:00:00,A,IBGOV(resigned),IBGOV
IND,INDL,A87,01-01-1900 00:00:00,A,RUS1(resigned),RUS1
IND,INDL,A88,01-01-1900 00:00:00,A,RUS2(resigned),RUS2
IND,INDL,A89,01-01-1900 00:00:00,A,RUS3A(resigned),RUS3A
IND,INDL,A9,01-01-1900 00:00:00,A,M.MGT. II,15
IND,INDL,A90,01-01-1900 00:00:00,A,S4(resigned),S4
IND,INDL,A91,01-01-1900 00:00:00,A,SL3B(resigned),SL3B
DEU,DEU,0,01-01-1900 00:00:00,A,Contractual Employee,CON
GBR,GBR,0,01-01-1900 00:00:00,A,Contractual Employee,CON
CAN,CAN,0,01-01-1900 00:00:00,A,Contractual Employee,CON
SHARE,KP01,1,01-01-1980 00:00:00,A,Staff Grade,G1
IND,CAT,10,01-01-1900 00:00:00,A,Sales Cordinator1,SC1
LKA,LKA,10,01-01-1900 00:00:00,A,SL - 1 A,SL1A
DEU,DEU,10,01-01-1900 00:00:00,A,UK - E1,UKE1
GBR,GBR,10,01-01-1900 00:00:00,A,UK - E1,UKE1
RUS,RUS,10,01-01-1900 00:00:00,A,RUS - E 1,RUSE1
BEL,BEL,10,01-01-2000 00:00:00,A,UK - E1,UKE1
LKA,LKA,10,01-02-2009 00:00:00,A,OFFICER,SL1A
SGP,SGP,10,01-01-1900 00:00:00,A,SENIOR OFFICER,SO
CHN,CHN,10,01-01-1900 00:00:00,A,SENIOR OFFICER,SO
HKG,HKG,10,01-01-1900 00:00:00,A,SENIOR OFFICER,SO
BGD,BGD,10,01-01-1900 00:00:00,A,SENIOR OFFICER,SO
MYS,MYS,10,01-01-1900 00:00:00,A,SENIOR OFFICER,SO
THA,THA,10,01-01-1900 00:00:00,A,SENIOR OFFICER,SO
